Date : 2025-05-01 12:16:32
Directory : /home/joseluiz/personal/github/r2m_4wd_diff_drive
Total : 125 files,  7821 codes, 736 comments, 2111 blanks, all 10668 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |         28 |      4,108 |        196 |        960 |      5,264 |
| Markdown           |         16 |        889 |          0 |        439 |      1,328 |
| YAML               |         21 |        877 |         89 |        163 |      1,129 |
| Python             |         12 |        792 |        346 |        168 |      1,306 |
| CMake              |         12 |        314 |          0 |         90 |        404 |
| XML                |         16 |        302 |          0 |         84 |        386 |
| reStructuredText   |          2 |        218 |         36 |        134 |        388 |
| Docker             |         10 |        169 |         69 |         73 |        311 |
| JSON with Comments |          8 |        152 |          0 |          0 |        152 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                          |        125 |      7,821 |        736 |      2,111 |     10,668 |
| . (Files)                                                                                                                                                  |          1 |        150 |          0 |         53 |        203 |
| .github                                                                                                                                                    |          1 |        143 |          3 |         24 |        170 |
| .github/workflows                                                                                                                                          |          1 |        143 |          3 |         24 |        170 |
| docker                                                                                                                                                     |          4 |         93 |          5 |         13 |        111 |
| legacy_code                                                                                                                                                |         62 |      3,787 |        354 |      1,023 |      5,164 |
| legacy_code (Files)                                                                                                                                        |          1 |         45 |          0 |         14 |         59 |
| legacy_code/docker                                                                                                                                         |          4 |         74 |          0 |         11 |         85 |
| legacy_code/ros2_control_demos                                                                                                                             |         21 |      1,088 |        225 |        336 |      1,649 |
| legacy_code/ros2_control_demos (Files)                                                                                                                     |          4 |        243 |         22 |         95 |        360 |
| legacy_code/ros2_control_demos/example_2                                                                                                                   |         13 |        803 |        203 |        223 |      1,229 |
| legacy_code/ros2_control_demos/example_2 (Files)                                                                                                           |          4 |        117 |          0 |         24 |        141 |
| legacy_code/ros2_control_demos/example_2/bringup                                                                                                           |          2 |        160 |         22 |         25 |        207 |
